registration_cohort_month,tenure_month,n_cohort_start,n_still_viewing,survival_fraction,definition_of_viewing,caveats
2025-04,1,,,,summary_viewed in tenure month,
2025-04,2,,,,summary_viewed in tenure month,
2025-04,3,,,,summary_viewed in tenure month,
2025-04,6,,,,summary_viewed in tenure month,
2025-04,12,,,,summary_viewed in tenure month,
2025-07,1,,,,summary_viewed in tenure month,
2025-07,2,,,,summary_viewed in tenure month,
2025-07,3,,,,summary_viewed in tenure month,
2025-07,6,,,,summary_viewed in tenure month,
2025-10,1,,,,summary_viewed in tenure month,
2025-10,2,,,,summary_viewed in tenure month,
2025-10,3,,,,summary_viewed in tenure month,
2025-10,6,,,,summary_viewed in tenure month,
2026-01,1,,,,summary_viewed in tenure month,
2026-01,2,,,,summary_viewed in tenure month,
2026-01,3,,,,summary_viewed in tenure month,
