life_moment,activation_cohort_month,tenure_month,n_cohort_start,n_still_active,survival_fraction,definition_of_active,feasibility_route_used,caveats
cancer,2025-07,1,,,,,(a) onboarding intent OR (b) customer.io segment OR (c) content classifier OR (d) manual sample — pick one,
cancer,2025-07,3,,,,,,
cancer,2025-07,6,,,,,,
cancer,2025-07,12,,,,,,
cancer,2026-01,1,,,,,,
cancer,2026-01,3,,,,,,
neuro,2025-07,1,,,,,,
neuro,2025-07,3,,,,,,
neuro,2025-07,6,,,,,,
neuro,2025-07,12,,,,,,
neuro,2026-01,1,,,,,,
neuro,2026-01,3,,,,,,
parents,2025-07,1,,,,,,
parents,2025-07,3,,,,,,
parents,2025-07,6,,,,,,
parents,2025-07,12,,,,,,
parents,2026-01,1,,,,,,
parents,2026-01,3,,,,,,
chronic,2025-07,1,,,,,,
chronic,2025-07,3,,,,,,
chronic,2025-07,6,,,,,,
chronic,2025-07,12,,,,,,
chronic,2026-01,1,,,,,,
chronic,2026-01,3,,,,,,
other,2025-07,1,,,,,,
other,2025-07,3,,,,,,
other,2025-07,6,,,,,,
other,2025-07,12,,,,,,
other,2026-01,1,,,,,,
other,2026-01,3,,,,,,
unknown,2025-07,1,,,,,,
unknown,2025-07,3,,,,,,
unknown,2025-07,6,,,,,,
unknown,2025-07,12,,,,,,
unknown,2026-01,1,,,,,,
unknown,2026-01,3,,,,,,
