event,days_bucket,n_events,fraction,caveats
invite_sent -> install,0-1,,,
invite_sent -> install,1-3,,,
invite_sent -> install,3-7,,,
invite_sent -> install,7-14,,,
invite_sent -> install,14-30,,,
invite_sent -> install,30-60,,,
invite_sent -> install,60-90,,,
invite_sent -> install,never_within_90d,,,
invite_sent -> activation,0-1,,,
invite_sent -> activation,1-3,,,
invite_sent -> activation,3-7,,,
invite_sent -> activation,7-14,,,
invite_sent -> activation,14-30,,,
invite_sent -> activation,30-60,,,
invite_sent -> activation,60-90,,,
invite_sent -> activation,never_within_90d,,,
