activation_cohort_month,tenure_month,n_cohort_start,n_still_active,survival_fraction,definition_of_active,caveats
2025-01,1,,,,summary_created in that tenure month,
2025-01,2,,,,summary_created in that tenure month,
2025-01,3,,,,summary_created in that tenure month,
2025-01,4,,,,summary_created in that tenure month,
2025-01,5,,,,summary_created in that tenure month,
2025-01,6,,,,summary_created in that tenure month,
2025-01,9,,,,summary_created in that tenure month,
2025-01,12,,,,summary_created in that tenure month,
2025-01,18,,,,summary_created in that tenure month,
2025-02,1,,,,summary_created in that tenure month,
2025-02,2,,,,summary_created in that tenure month,
2025-02,3,,,,summary_created in that tenure month,
2025-02,4,,,,summary_created in that tenure month,
2025-02,5,,,,summary_created in that tenure month,
2025-02,6,,,,summary_created in that tenure month,
2025-02,9,,,,summary_created in that tenure month,
2025-02,12,,,,summary_created in that tenure month,
2025-03,1,,,,summary_created in that tenure month,
2025-03,2,,,,summary_created in that tenure month,
2025-03,3,,,,summary_created in that tenure month,
2025-03,4,,,,summary_created in that tenure month,
2025-03,5,,,,summary_created in that tenure month,
2025-03,6,,,,summary_created in that tenure month,
2025-03,9,,,,summary_created in that tenure month,
2025-03,12,,,,summary_created in that tenure month,
2025-04,1,,,,summary_created in that tenure month,
2025-04,2,,,,summary_created in that tenure month,
2025-04,3,,,,summary_created in that tenure month,
2025-04,4,,,,summary_created in that tenure month,
2025-04,5,,,,summary_created in that tenure month,
2025-04,6,,,,summary_created in that tenure month,
2025-04,9,,,,summary_created in that tenure month,
2025-04,12,,,,summary_created in that tenure month,
2025-05,1,,,,summary_created in that tenure month,
2025-05,2,,,,summary_created in that tenure month,
2025-05,3,,,,summary_created in that tenure month,
2025-05,4,,,,summary_created in that tenure month,
2025-05,5,,,,summary_created in that tenure month,
2025-05,6,,,,summary_created in that tenure month,
2025-05,9,,,,summary_created in that tenure month,
2025-05,12,,,,summary_created in that tenure month,
2025-06,1,,,,summary_created in that tenure month,
2025-06,2,,,,summary_created in that tenure month,
2025-06,3,,,,summary_created in that tenure month,
2025-06,4,,,,summary_created in that tenure month,
2025-06,5,,,,summary_created in that tenure month,
2025-06,6,,,,summary_created in that tenure month,
2025-06,9,,,,summary_created in that tenure month,
2025-07,1,,,,summary_created in that tenure month,
2025-07,2,,,,summary_created in that tenure month,
2025-07,3,,,,summary_created in that tenure month,
2025-07,4,,,,summary_created in that tenure month,
2025-07,5,,,,summary_created in that tenure month,
2025-07,6,,,,summary_created in that tenure month,
2025-07,9,,,,summary_created in that tenure month,
2025-08,1,,,,summary_created in that tenure month,
2025-08,2,,,,summary_created in that tenure month,
2025-08,3,,,,summary_created in that tenure month,
2025-08,4,,,,summary_created in that tenure month,
2025-08,5,,,,summary_created in that tenure month,
2025-08,6,,,,summary_created in that tenure month,
2025-09,1,,,,summary_created in that tenure month,
2025-09,2,,,,summary_created in that tenure month,
2025-09,3,,,,summary_created in that tenure month,
2025-09,4,,,,summary_created in that tenure month,
2025-09,5,,,,summary_created in that tenure month,
2025-09,6,,,,summary_created in that tenure month,
2025-10,1,,,,summary_created in that tenure month,
2025-10,2,,,,summary_created in that tenure month,
2025-10,3,,,,summary_created in that tenure month,
2025-10,4,,,,summary_created in that tenure month,
2025-10,5,,,,summary_created in that tenure month,
2025-11,1,,,,summary_created in that tenure month,
2025-11,2,,,,summary_created in that tenure month,
2025-11,3,,,,summary_created in that tenure month,
2025-11,4,,,,summary_created in that tenure month,
2025-12,1,,,,summary_created in that tenure month,
2025-12,2,,,,summary_created in that tenure month,
2025-12,3,,,,summary_created in that tenure month,
2026-01,1,,,,summary_created in that tenure month,
2026-01,2,,,,summary_created in that tenure month,
2026-02,1,,,,summary_created in that tenure month,
2026-03,1,,,,summary_created in that tenure month,
