ID,Title,Link,Team,Project,Milestone,Release,Completed,Pillar,OKR_primary,OKR_link,OKR_secondary,Investment,Effort,Priority,Labels
PRO-16,Integrate Customer.IO SDK into mobile apps,https://linear.app/ditto-care/issue/PRO-16/integrate-customerio-sdk-into-mobile-apps,Product,Customer.io — Marketing Automation & Push Notifications,,,2026-03-31,Convenience,O2-KR2,Project-mapped,O2-KR4,Lifecycle/CRM,S,High,
PRO-20,Integrate Customer.IO in-app message triggers,https://linear.app/ditto-care/issue/PRO-20/integrate-customerio-in-app-message-triggers,Product,Customer.io — Marketing Automation & Push Notifications,,,2026-03-31,Convenience,O2-KR2,Project-mapped,O2-KR4,Lifecycle/CRM,S,High,
PRO-18,Send frontend event data to Customer.IO,https://linear.app/ditto-care/issue/PRO-18/send-frontend-event-data-to-customerio,Product,Customer.io — Marketing Automation & Push Notifications,,,2026-04-01,Convenience,O2-KR2,Project-mapped,O2-KR4,Lifecycle/CRM,S,High,
PRO-19,Configure Customer.IO for email and push notifications,https://linear.app/ditto-care/issue/PRO-19/configure-customerio-for-email-and-push-notifications,Product,Customer.io — Marketing Automation & Push Notifications,,,2026-04-01,Convenience,O2-KR2,Project-mapped,O2-KR4,Lifecycle/CRM,M,High,
PRO-24,Design: Zorginnovatieprijs in-app campaign,https://linear.app/ditto-care/issue/PRO-24/design-zorginnovatieprijs-in-app-campaign,Product,(none),,,2026-04-02,Fundamentals,—,None (BAU/foundational),,Lifecycle/CRM,S,Medium,must-ship
PRO-8,Discovery dedicated Discover tab,https://linear.app/ditto-care/issue/PRO-8/discovery-dedicated-discover-tab,Product,Dedicated Discover Tab,,,2026-04-02,Convenience,O2-KR2,Project-mapped,O2-KR2,Research/discovery,M,Medium,
PRO-25,Implement Zorginnovatieprijs in-app campaign,https://linear.app/ditto-care/issue/PRO-25/implement-zorginnovatieprijs-in-app-campaign,Product,(none),,,2026-04-03,Fundamentals,—,None (BAU/foundational),,Lifecycle/CRM,M,Medium,must-ship
PRO-48,"Fix behaviour stacked cards ""shared with you""",https://linear.app/ditto-care/issue/PRO-48/fix-behaviour-stacked-cards-shared-with-you,Product,(none),,,2026-04-03,Connection,O2-KR3,Inferred,,Bug fix,S,No priority,Bug;mobile;must-ship
PRO-58,No care circle for owner_id,https://linear.app/ditto-care/issue/PRO-58/no-care-circle-for-owner-id,Product,(none),,,2026-04-03,Connection,O2-KR3,Inferred,,Team/internal ops,S,High,
PRO-56,Replace appointment card with LEGO design,https://linear.app/ditto-care/issue/PRO-56/replace-appointment-card-with-lego-design,Product,UI / LEGO maintenance,,,2026-04-07,Fundamentals,—,None (BAU/foundational),,Design system,M,No priority,
PRO-62,Define content for discover tab,https://linear.app/ditto-care/issue/PRO-62/define-content-for-discover-tab,Product,Dedicated Discover Tab,,,2026-04-07,Convenience,O2-KR2,Project-mapped,O2-KR2,New feature,L,No priority,Feature
